id,CAR_MAKE,CAR_MODEL,CAR_MODEL_YEAR
899,Saturn,S-Series,1995
900,Volkswagen,Touareg,2011
901,Plymouth,Grand Voyager,1993
902,Lincoln,Navigator,2006
903,Pontiac,Sunfire,2005
904,Pontiac,G6,2005
905,Volkswagen,Passat,2002
906,Ford,Econoline E250,1997
907,Volvo,V50,2005
908,Mitsubishi,Eclipse,2010
909,Chevrolet,Colorado,2011
910,Chevrolet,Cruze,2011
911,Audi,A8,2008
912,Ford,E-Series,1963
913,Ford,F150,2006
914,Mercedes-Benz,Sprinter 2500,2011
915,Ford,E250,1984
916,Pontiac,Grand Prix,1984
917,Mercedes-Benz,SL-Class,1992
918,Mercury,Sable,1991
919,Pontiac,Trans Sport,1998
920,Buick,Skylark,1985
921,Chevrolet,Corvette,1956
922,Mercedes-Benz,300SD,1992
923,Jaguar,S-Type,2006
924,Isuzu,Hombre Space,1998
925,Hyundai,Elantra,1998
926,Mitsubishi,Diamante,1994
927,Scion,xB,2012
928,GMC,Rally Wagon 3500,1993
929,Acura,RL,2011
930,Toyota,Echo,2004
931,Chevrolet,Express 3500,1999
932,Mercedes-Benz,R-Class,2012
933,Mercedes-Benz,GLK-Class,2010
934,Mazda,Navajo,1991
935,Chevrolet,Suburban 2500,1994
936,Chevrolet,Equinox,2012
937,Mercury,Mountaineer,2005
938,Mercury,Sable,1993
939,Chevrolet,Avalanche,2012
940,Ford,Explorer,2008
941,Chevrolet,Suburban 2500,1996
942,Mercury,Mountaineer,2009
943,Maserati,GranTurismo,2009
944,Ford,Crown Victoria,2007
945,Mercedes-Benz,M-Class,2010
946,Audi,Quattro,1992
947,Pontiac,Bonneville,1985
948,Chrysler,LHS,2000
949,GMC,Yukon,2003
950,GMC,Vandura 1500,1993
951,Dodge,Stratus,1995
952,Mazda,CX-7,2007
953,Honda,Civic,2000
954,Nissan,Murano,2010
955,Ferrari,599 GTB Fiorano,2007
956,Honda,Prelude,1992
957,Lincoln,Continental,1992
958,Hyundai,Elantra,2009
959,Suzuki,XL7,2008
960,Pontiac,GTO,1967
961,Chevrolet,Camaro,1977
962,Panoz,Esperante,2005
963,Volkswagen,Passat,1993
964,Acura,RL,2008
965,Toyota,T100,1997
966,Mazda,B-Series,1997
967,GMC,Savana 2500,2004
968,Saab,900,1998
969,Buick,Park Avenue,1999
970,Mitsubishi,Tredia,1986
971,BMW,1 Series,2011
972,Mercury,Villager,1998
973,Mazda,GLC,1984
974,Honda,Prelude,1984
975,Cadillac,Eldorado,1994
976,Acura,TL,2000
977,Subaru,SVX,1996
978,Land Rover,Range Rover,1993
979,Jaguar,S-Type,2007
980,Mercedes-Benz,M-Class,2003
981,Plymouth,Neon,2001
982,Pontiac,Daewoo Kalos,2006
983,Chevrolet,HHR,2011
984,Chevrolet,Traverse,2010
985,Acura,RDX,2009
986,Nissan,Murano,2012
987,Suzuki,Vitara,2001
988,Ford,Explorer Sport Trac,2006
989,Chrysler,LHS,2000
990,Rolls-Royce,Phantom,2005
991,Mercury,Topaz,1984
992,Mercedes-Benz,W123,1977
993,Plymouth,Laser,1993
994,Chevrolet,HHR Panel,2006
995,Toyota,Tundra,2004
996,Pontiac,1000,1986
997,Chevrolet,S10,2000
998,Hyundai,Sonata,2001
999,Mercedes-Benz,300SE,1992
1000,Honda,Insight,2000
